"","Código","Provincia","Urbano","Rural","Sí lee y escribe","No lee ni escribe"
"128","1311","La Lbertad, provincia: Gran Chimú","4688","22204","21527","3963"
"129","1312","La Lbertad, provincia: Virú","76630","15694","73791","12546"
"130","1401","Lambayeque, provincia: Chiclayo","758872","40803","693969","68697"
"131","1402","Lambayeque, provincia: Ferreñafe","55448","41967","76321","15386"
"132","1403","Lambayeque, provincia: Lambayeque","156801","143369","242762","38204"
"133","1501","Lima, provincia: Lima","8567786","7188","7674911","542649"
"134","1502","Lima, provincia: Barranca","130824","13557","123422","13890"
"135","1503","Lima, provincia: Cajatambo","0","6559","5426","866"
"136","1504","Lima, provincia: Canta","6037","5511","9968","1084"
"137","1505","Lima, provincia: Cañete","216285","23728","206780","20236"
"138","1506","Lima, provincia: Huaral","161415","22483","158496","16702"
"139","1507","Lima, provincia: Huarochirí","27140","31005","50691","4831"
"140","1508","Lima, provincia: Huaura","205046","22639","196848","19420"
"141","1509","Lima, provincia: Oyón","10263","7476","15002","1905"
"142","1510","Lima, provincia: Yauyos","0","20463","17912","1825"
"143","1601","Loreto, provincia: Maynas","405630","74236","399845","53119"
"144","1602","Loreto, provincia: Alto Amazonas","83584","39141","93836","19974"
"145","1603","Loreto, provincia: Loreto","23370","39067","44986","12635"
"146","1604","Loreto, provincia: Mariscal Ramón Castilla","17631","31441","36758","8690"
"147","1605","Loreto, provincia: Requena","33973","24538","44822","9314"
"148","1606","Loreto, provincia: Ucayali","28185","26452","43072","7717"
"149","1607","Loreto, provincia: Datem del Marañón","11314","37168","33219","10991"
"150","1608","Loreto, provincia: Putumayo","3056","4724","5906","1298"
"151","1701","Madre de Dios prov. de Tambopata","102117","9357","93728","11332"
"152","1702","Madre de Dios prov. de Manu","9105","9444","14970","2435"
"153","1703","Madre de Dios prov. de Tahuamanu","5521","5526","9223","1193"
"154","1801","Moquegua, provincia: Mariscal Nieto","75316","10033","74094","7678"
"155","1802","Moquegua, provincia: General Sánchez Cerro","2326","12539","12651","1669"
"156","1803","Moquegua, provincia: Ilo","74249","400","66057","5321"
"157","1901","Pasco, provincia: Pasco","102168","20847","104574","12284"
"158","1902","Pasco, provincia: Daniel Alcides Carrión","14867","28713","36298","5720"
"159","1903","Pasco, provincia: Oxapampa","43234","44236","69652","12652"
"160","2001","Piura, provincia: Piura","707318","92003","665216","91005"
"161","2002","Piura, provincia: Ayabaca","14959","104328","87448","24805"
"162","2003","Piura, provincia: Huancabamba","17208","94293","80059","25076"
"163","2004","Piura, provincia: Morropón","102916","59111","128192","25163"
"164","2005","Piura, provincia: Paita","124977","4915","107453","14371"
"165","2006","Piura, provincia: Sullana","287278","24176","261893","33877"
"166","2007","Piura, provincia: Talara","141953","2197","125260","11511"
"167","2008","Piura, provincia: Sechura","75224","3953","64360","8976"
"168","2101","Puno, provincia: Puno","138912","80582","184688","25867"
"169","2102","Puno, provincia: Azángaro","33569","76823","86705","18564"
"170","2103","Puno, provincia: Carabaya","32906","40416","58288","11436"
"171","2104","Puno, provincia: Chucuito","24161","64841","73681","12004"
"172","2105","Puno, provincia: El Collao","21838","42040","51167","10508"
"173","2106","Puno, provincia: Huancané","7714","49937","44836","10671"
"174","2107","Puno, provincia: Lampa","13232","27624","33169","5732"
"175","2108","Puno, provincia: Melgar","36425","30713","54905","9310"
"176","2109","Puno, provincia: Moho","3257","16496","15478","3717"
"177","2110","Puno, provincia: San Antonio de Putina","24333","11780","29977","4700"
"178","2111","Puno, provincia: San Román","278532","28885","263029","29207"
"179","2112","Puno, provincia: Sandia","4003","46739","41035","7369"
"180","2113","Puno, provincia: Yunguyo","11766","25173","28404","7281"
"181","2201","San Martín, provincia: Moyobamba","86221","36144","98955","16478"
"182","2202","San Martín, provincia: Bellavista","33917","21116","43573","8100"
"183","2203","San Martín, provincia: El Dorado","15613","21139","27995","6457"
"184","2204","San Martín, provincia: Huallaga","13120","14386","22322","3694"
"185","2205","San Martín, provincia: Lamas","45251","36270","63529","13329"
"186","2206","San Martín, provincia: Mariscal Cáceres","40983","23643","52278","8406"
"187","2207","San Martín, provincia: Picota","20105","20440","32496","5611"
"188","2208","San Martín, provincia: Rioja","93510","29034","96741","18340"
"189","2209","San Martín, provincia: San Martín","167116","25979","165631","17590"
"190","2210","San Martín, provincia: Tocache","38243","31151","56296","9183"
"191","2301","Tacna, provincia: Tacna","288875","17488","270263","23206"
"192","2302","Tacna, provincia: Candarave","0","6102","5119","795"
"193","2303","Tacna, provincia: Jorge Basadre","5111","5662","9557","795"
"194","2304","Tacna, provincia: Tarata","2802","3292","5239","665"
"195","2401","Tumbes, provincia: Tumbes","147678","7284","132389","14417"
"196","2402","Tumbes, provincia: Contralmirante Villar","17157","3900","17797","2084"
"197","2403","Tumbes, provincia: Zarumilla","45757","3087","40250","5457"
"198","2501","Ucayali, provincia: Coronel Portillo","341162","43006","319347","40959"
"199","2502","Ucayali, provincia: Atalaya","20314","29010","33301","11659"
"200","2503","Ucayali, provincia: Padre Abad","40668","19439","47357","8811"
"201","2504","Ucayali, provincia: Purús","0","2860","1969","695"
