,Código,Provincia,Urbano,Rural,Sí lee y escribe,No lee ni escribe
1,101,"Amazonas, provincia: Chachapoyas",37214,18292,46783,6078
2,102,"Amazonas, provincia: Bagua",38587,35513,58015,11546
3,103,"Amazonas, provincia: Bongara",12344,13293,20918,3450
4,104,"Amazonas, provincia: Condorcanqui",4075,38395,29994,8594
5,105,"Amazonas, provincia: Luya",6502,37934,34354,7638
6,106,"Amazonas, provincia: Rodríguez de Mendoza",4989,25009,24095,4323
7,107,"Amazonas, provincia: Utcubamba",53849,53388,84202,17064
8,201,"Áncash, provincia: Huaraz",123069,40867,135570,20049
9,202,"Áncash, provincia: Aija",0,6316,5310,729
10,203,"Áncash, provincia: Antonio Raymondi",0,13650,10245,2678
11,204,"Áncash, provincia: Asunción",0,7378,5309,1737
12,205,"Áncash, provincia: Bolognesi",9276,14521,19861,2895
13,206,"Áncash, provincia: Carhuaz",13820,31364,32796,10214
14,207,"Áncash, provincia: Carlos Fermín Fitzcarrald",3786,13931,12285,4546
15,208,"Áncash, provincia: Casma",38907,12082,41579,6696
16,209,"Áncash, provincia: Corongo",0,7532,6005,1175
17,210,"Áncash, provincia: Huari",13000,45714,44747,11107
18,211,"Áncash, provincia: Huarmey",22295,8265,26222,2762
19,212,"Áncash, provincia: Huaylas",15204,36130,38756,9834
20,213,"Áncash, provincia: Mariscal Luzuriaga",0,20284,13802,5476
21,214,"Áncash, provincia: Ocros",0,7039,5979,726
22,215,"Áncash, provincia: Pallasca",6913,16578,18239,3986
23,216,"Áncash, provincia: Pomabamba",5667,19127,16723,6830
24,217,"Áncash, provincia: Recuay",5969,11216,13918,2480
25,218,"Áncash, provincia: Santa",412281,23526,377097,38174
26,219,"Áncash, provincia: Sihuas",4354,22617,19539,5947
27,220,"Áncash, provincia: Yungay",12187,38654,36371,11932
28,301,"Apurímac, provincia: Abancay",79657,30863,90367,14528
29,302,"Apurímac, provincia: Andahuaylas",69220,73257,107058,27938
30,303,"Apurímac, provincia: Antabamba",0,11310,8790,2050
31,304,"Apurímac, provincia: Aymaraes",4297,20010,18535,4747
32,305,"Apurímac, provincia: Cotabambas",15853,34803,36999,10926
33,306,"Apurímac, provincia: Chincheros",13832,31415,33474,9274
34,307,"Apurímac, provincia: Grau",3105,18137,16009,4283
35,401,"Arequipa, provincia: Arequipa",1063523,17112,951789,80118
36,402,"Arequipa, provincia: Camaná",49868,9502,51143,5351
37,403,"Arequipa, provincia: Caravelí",26447,14899,35543,3734
38,404,"Arequipa, provincia: Castilla",18554,15075,28112,3990
39,405,"Arequipa, provincia: Caylloma",55954,30817,72316,9935
40,406,"Arequipa, provincia: Condesuyos",2830,13288,13472,1974
41,407,"Arequipa, provincia: Islay",49575,2459,45557,4303
42,408,"Arequipa, provincia: La Unión",2190,10637,9588,2613
43,501,"Ayacucho, provincia: Huamanga",220954,61240,229912,37274
44,502,"Ayacucho, provincia: Cangallo",8185,22258,22506,6470
45,503,"Ayacucho, provincia: Huanca Sancos",3023,5386,6525,1559
46,504,"Ayacucho, provincia: Huanta",44773,44693,69024,15331
47,505,"Ayacucho, provincia: La Mar",34184,36469,53335,13400
48,506,"Ayacucho, provincia: Lucanas",19804,31524,41031,8050
49,507,"Ayacucho, provincia: Parinacochas",16221,11438,22070,4383
50,508,"Ayacucho, provincia: Páucar del Sara Sara",2717,6892,7849,1332
51,509,"Ayacucho, provincia: Sucre",2269,7176,7424,1655
52,510,"Ayacucho, provincia: Víctor Fajardo",3338,16771,15108,4202
53,511,"Ayacucho, provincia: Vilcas Huamán",2577,14284,12302,3834
54,601,"Cajamarca, provincia: Cajamarca",209408,139025,278095,51236
55,602,"Cajamarca, provincia: Cajabamba",21112,54575,56290,14732
56,603,"Cajamarca, provincia: Celendín",19809,59275,59726,15282
57,604,"Cajamarca, provincia: Chota",30413,112571,106395,29722
58,605,"Cajamarca, provincia: Contumazá",7744,19949,22855,3517
59,606,"Cajamarca, provincia: Cutervo",23918,96805,91147,23863
60,607,"Cajamarca, provincia: Hualgayoc",17428,60516,55494,19005
61,608,"Cajamarca, provincia: Jaén",96443,88989,148414,27116
62,609,"Cajamarca, provincia: San Ignacio",25881,104739,100449,22273
63,610,"Cajamarca, provincia: San Marcos",9835,38268,35537,9967
64,611,"Cajamarca, provincia: San Miguel",4426,41617,36560,7466
65,612,"Cajamarca, provincia: San Pablo",3475,17627,15833,4183
66,613,"Cajamarca, provincia: Santa Cruz",5176,31988,29173,6277
67,701,Provincia Constitucional del Callao,994494,0,881563,67582
68,801,"Cusco, provincia: Cusco",432662,14926,390423,35699
69,802,"Cusco, provincia: Acomayo",10384,12556,17195,4751
70,803,"Cusco, provincia: Anta",16907,39299,43808,9494
71,804,"Cusco, provincia: Calca",28308,34847,47810,12164
72,805,"Cusco, provincia: Canas",3870,28614,24636,6438
73,806,"Cusco, provincia: Canchis",59677,36097,76778,14649
74,807,"Cusco, provincia: Chumbivilcas",15794,50616,49451,14000
75,808,"Cusco, provincia: Espinar",33241,24341,46527,8162
76,809,"Cusco, provincia: La Convención",57019,90129,119262,21174
77,810,"Cusco, provincia: Paruro",0,25567,18467,6007
78,811,"Cusco, provincia: Paucartambo",3990,38514,29433,10559
79,812,"Cusco, provincia: Quispicanchi",38049,49381,64752,17837
80,813,"Cusco, provincia: Urubamba",31351,29388,49122,8590
81,901,"Huancavelica, provincia: Huancavelica",61849,53205,90165,18952
82,902,"Huancavelica, provincia: Acobamba",10036,28172,27896,8322
83,903,"Huancavelica, provincia: Angaraes",11259,37948,35957,10465
84,904,"Huancavelica, provincia: Castrovirreyna",0,13982,11267,2003
85,905,"Huancavelica, provincia: Churcampa",3306,29232,23628,7213
86,906,"Huancavelica, provincia: Huaytará",0,17247,13777,2695
87,907,"Huancavelica, provincia: Tayacaja",19412,61991,61189,16094
88,1001,"Huánuco, provincia: Huánuco",210539,82858,235689,42478
89,1002,"Huánuco, provincia: Ambo",17964,32916,38142,9755
90,1003,"Huánuco, provincia: Dos De Mayo",8609,24649,25580,5866
